level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor,"Bachelor of Arts, Economics",economics,bachelor of arts economics,economics
bachelor,bachelor,"Bachelor of Arts, Economics and Political Science",,bachelor of arts economics and political science,economics
bachelor,bachelor,"Bachelor of Arts, English and Journalism",,bachelor of arts english and journalism,journalism
bachelor,bachelor,"Bachelor of Arts, Mass Communications",,bachelor of arts mass communications,mass communication
bachelor,bachelor,"Bachelor of Arts, Political Science",political science,bachelor of arts political science,political science
bachelor,bachelor,Bachelor of Business (Honours),,bachelor of business honours,business
bachelor,Bachelor,"Bachelor of Business (Honours), Marketing",marketing,bachelor of business honours marketing,marketing
bachelor,bachelor,"Bachelor of Business (Hons), Marketing",marketing,bachelor of business hons marketing,marketing
bachelor,bachelor,"Bachelor of Business (Marketing), Marketing",marketing,bachelor of business marketing marketing,marketing
bachelor,bachelor,"Bachelor of Business Admin (Finance), Business Administration and Management, General",,bachelor of business admin finance business administration and management general,business administration
bachelor,bachelor,Bachelor of Business Administration - BBA,,bachelor of business administration bba,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Honours), Business Administration and Management, General",,bachelor of business administration bba honours business administration and management general,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Hons), Business Administration",,bachelor of business administration bba hons business administration,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA Marketing, with a Second Major in Communications & New Media",,bachelor of business administration bba marketing with a second major in communications new media,marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting and Business/Management",,bachelor of business administration bba accounting and businessmanagement,accounting
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting, Operations Management",operations management,bachelor of business administration bba accounting operations management,operations management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Banking & Finance",,bachelor of business administration bba banking finance,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business administration ",,bachelor of business administration bba business administration,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business Administration and Management, General",,bachelor of business administration bba business administration and management general,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business, Management, Marketing, and Related Support Services",,bachelor of business administration bba business management marketing and related support services,business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business/Corporate Communications",,bachelor of business administration bba businesscorporate communications,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance and Financial Management Services",,bachelor of business administration bba finance and financial management services,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance, General",,bachelor of business administration bba finance general,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, First Class Honours",,bachelor of business administration bba first class honours,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Global Business and Marketing",,bachelor of business administration bba global business and marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Information Management (Internet Service and Social Networks)",information management,bachelor of business administration bba information management internet service and social networks,information management
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business and Chinese Enterprise",,bachelor of business administration bba international business and chinese enterprise,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business Management",,bachelor of business administration bba international business management,business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Management Information Systems, General",,bachelor of business administration bba management information systems general,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing",marketing,bachelor of business administration bba marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing & Information System ",,bachelor of business administration bba marketing information system,marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing Communications",,bachelor of business administration bba marketing communications,marketing
bachelor,bachelor,Bachelor of Business Administration - Finance,,bachelor of business administration finance,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.)			  	         2007, 2010; International Business and Marketing",,bachelor of business administration bba			 	 international business and marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) - Magna Cum Laude, Marketing",marketing,bachelor of business administration bba magna cum laude marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) with Merit, Marketing",marketing,bachelor of business administration bba with merit marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration",business administration,bachelor of business administration bba business administration,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration and Management, General",business administration,bachelor of business administration bba business administration and management general,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Economics / International Business",business administration,bachelor of business administration bba business economics international business,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Operations Management",business administration,bachelor of business administration bba business operations management,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management and Marketing",marketing,bachelor of business administration bba business management and marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management, Marketing, and Related Support Services",business,bachelor of business administration bba business management marketing and related support services,business
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Fiance and Banking",,bachelor of business administration bba fiance and banking,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Finance, General",,bachelor of business administration bba finance general,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), International Business/Trade/Commerce",,bachelor of business administration bba international businesstradecommerce,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing",marketing,bachelor of business administration bba marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing & Human Resource Management",Human Resources,bachelor of business administration bba marketing human resource management,human resources
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing and Technopreneurship",marketing,bachelor of business administration bba marketing and technopreneurship,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing Major",marketing,bachelor of business administration bba marketing major,marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing/Marketing Management, General",marketing,bachelor of business administration bba marketingmarketing management general,marketing
bachelor,bachelor,Bachelor of Business Administration (BBA),,bachelor of business administration bba,business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA)
(First Class Honours), Tourism and Hospitality Management, Human Resources Consulting",Human Resources,"bachelor of business administration bba
first class honours tourism and hospitality management human resources consulting",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA) - IBGM, Global business and Finance",,bachelor of business administration bba ibgm global business and finance,business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting",accounting,bachelor of business administration bba accounting,accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting and Finance",,bachelor of business administration bba accounting and finance,accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business",business,bachelor of business administration bba business,business
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business Administration and Management, General",,bachelor of business administration bba business administration and management general,business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business/Managerial Economics",,bachelor of business administration bba businessmanagerial economics,business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Development",Human Resources,bachelor of business administration bba human resources development,human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Management and Services",Human Resources,bachelor of business administration bba human resources management and services,human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business and Global Management",,bachelor of business administration bba international business and global management,business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business, Marketing, Management ",,bachelor of business administration bba international business marketing management,marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing",marketing,bachelor of business administration bba marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing/Marketing Management, General",,bachelor of business administration bba marketingmarketing management general,marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Professional Accounting / Organizational Management",,bachelor of business administration bba professional accounting organizational management,accounting
bachelor,bachelor,Bachelor of Business Administration (Honors),,bachelor of business administration honors,business administration
bachelor,bachelor,Bachelor of Business Administration (Honors),business,bachelor of business administration honors,business
bachelor,bachelor,"Bachelor of Business Administration (Honours), Accountancy and Finance",,bachelor of business administration honours accountancy and finance,business administration
bachelor,bachelor,"Bachelor of Business Administration (Honours), Business, Major in Marketing",,bachelor of business administration honours business major in marketing,marketing
bachelor,bachelor,"Bachelor of Business Administration (Hons), Operations and Supply Chain Management, and Management and Human Capital",,bachelor of business administration hons operations and supply chain management and management and human capital,business administration
bachelor,bachelor,"Bachelor of Business Administration and Analytics (BBA), Business, Management, Analytics, Statistics",,bachelor of business administration and analytics bba business management analytics statistics,business management
bachelor,bachelor,"Bachelor of Business Administration, Marketing and Management",,bachelor of business administration marketing and management,marketing
bachelor,bachelor,"Bachelor of Business and Commerce, Accounting and Finance",,bachelor of business and commerce accounting and finance,accounting
bachelor,bachelor,"Bachelor of Business and Commerce, Marketing + Banking & Finance",,bachelor of business and commerce marketing banking finance,marketing
bachelor,bachelor,"Bachelor of business information Systems / Bachelor Of Business, Finance, General",,bachelor of business information systems bachelor of business finance general,business
bachelor,bachelor,Bachelor of Business Management,business management,bachelor of business management,business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Finance",business management,bachelor of business management bbm finance,business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Marketing",business management,bachelor of business management bbm marketing,business management
bachelor,bachelor,"Bachelor of Business Management , Business Administration and Management, General",business management,bachelor of business management business administration and management general,business management
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance",finance,bachelor of business management bbm finance,finance
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance Major",Business,bachelor of business management bbm finance major,business
bachelor,bachelor,"Bachelor of Business Management (BBM), Marketing and Finance",business management,bachelor of business management bbm marketing and finance,business management
bachelor,bachelor,"Bachelor of Business Management (Honours), Marketing & Corporate Communications",business,bachelor of business management honours marketing corporate communications,business
bachelor,bachelor,"Bachelor of Business Management (Hons), Human Resource, Management and Marketing",business management,bachelor of business management hons human resource management and marketing,business management
bachelor,bachelor,"Bachelor of Business Management, Double Majors in Finance and Corporate Communications",business management,bachelor of business management double majors in finance and corporate communications,business management
bachelor,bachelor,"Bachelor of Business Management, Investment Finance and Strategic Management, Cum Laude",business management,bachelor of business management investment finance and strategic management cum laude,business management
bachelor,bachelor,"Bachelor of Business Management, Marketing",business management,bachelor of business management marketing,business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Corporate Communications",business management,bachelor of business management marketing corporate communications,business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Operations Management",business management,bachelor of business management marketing operations management,business management
bachelor,bachelor,"Bachelor of Business Management, Marketing/Corporate Communication",business management,bachelor of business management marketingcorporate communication,business management
bachelor,bachelor,"Bachelor of Business Management, Organisational Behaviour and Human Resources",Human Resources,bachelor of business management organisational behaviour and human resources,human resources
bachelor,bachelor,"Bachelor of Business Managment, International Business",,bachelor of business managment international business,business
bachelor,bachelor,"Bachelor of Business Studies, Management",,bachelor of business studies management,business
