level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor,"B.A. Honours, Business Administration with Major in Economics & International Finance",,ba honours business administration with major in economics international finance,business administration
bachelor,bachelor,"B.A. Hons (2nd Upper), English Literature",english literature,ba hons nd upper english literature,english literature
bachelor,bachelor,"B.A. Hons in English Language & Literature, English Language and Literature, General",,ba hons in english language literature english language and literature general,literature
bachelor,bachelor,"B.A. Journalism & Mass Communications, Journalism and Mass Communications",,ba journalism mass communications journalism and mass communications,journalism
bachelor,bachelor,"B.A., Business Economics",,ba business economics,business
bachelor,bachelor,"B.A., Computer Science",computer science,ba computer science,computer science
bachelor,bachelor,"B.A., Foreign Trade",,ba foreign trade,other
bachelor,bachelor,"B.A., Japanese",,ba japanese,other
bachelor,bachelor,"B.A., Psychology, Journalism",,ba psychology journalism,psychology
bachelor,bachelor,B.A.(Policy Management)],,bapolicy management,management
bachelor,bachelor,"B.Bus, Business Information Systems",,bbus business information systems,business
bachelor,bachelor,"B.Com, Banking & Finance",,bcom banking finance,finance
bachelor,bachelor,"B.Comp, Information Systems",,bcomp information systems,information system
bachelor,bachelor,"B.E, Computer Science",computer science,be computer science,computer science
bachelor,bachelor,"B.E, Computer Technology",,be computer technology,other
bachelor,bachelor,"B.E. (CS), Computer Science",computer science,be cs computer science,computer science
bachelor,bachelor,"B.E., Electronics",,be electronics,electronic
bachelor,bachelor,"B.Eng (Hons), Electrical & Electronic Engineering",,beng hons electrical electronic engineering,electronic
bachelor,bachelor,"B.Eng, Computer Engineering with a Minor in Business",,beng computer engineering with a minor in business,business
bachelor,bachelor,"B.Eng, Electrical Engineering",electrical engineering,beng electrical engineering,electrical engineering
bachelor,bachelor,"B.S, Electrical Engineering",electrical engineering,bs electrical engineering,electrical engineering
bachelor,bachelor,"B.S, Finance and Financial Management Services",,bs finance and financial management services,finance
bachelor,bachelor,B.S., Business Administration,bs,business administration
bachelor,bachelor,"B.S. and MBA, Economics and Organizational Leadership",,bs and mba economics and organizational leadership,economics
bachelor,bachelor,"B.S. Business Administration, Leed's School of Business",,bs business administration leeds school of business,business administration
bachelor,bachelor,"B.S. Marketing, Statistics, Business Administration",,bs marketing statistics business administration,marketing
bachelor,bachelor,"B.S., Management",,bs management,management
bachelor,bachelor,"B.S.E., Computer Science in Engineering",computer science,bse computer science in engineering,computer science
bachelor,bachelor,"B.Sc Real Estate, Real Estate",,bsc real estate real estate,other
bachelor,bachelor,"B.SC, Biochemistry with Biotechnology & Molecular Genetics",,bsc biochemistry with biotechnology molecular genetics,chemistry
bachelor,bachelor,"B.SC, Mechanical Engineering, Industrial / Operational Management & Business Administration",,bsc mechanical engineering industrial operational management business administration,business administration
bachelor,bachelor,"B.Sc.  (Statistics, Economics, Math’s, English and French)",,bsc statistics economics math’s english and french,economics
bachelor,bachelor hons,B.Sc. (Hons) of Food Science & Technology,,bsc hons of food science technology,food science
bachelor,bachelor hons,"B.Sc. (Hons), International Hospitality Management",,bsc hons international hospitality management,management
bachelor,bachelor hons,"B.Sc. (Hons), International Management",,bsc hons international management,management
bachelor,bachelor,"B.Sc., Computer Science",computer science,bsc computer science,computer science
bachelor,bachelor,"B.Sc.E, Electrical Engineering",electrical engineering,bsce electrical engineering,electrical engineering
bachelor,bachelor,"B.Tech, Engineering",,btech engineering,other
bachelor,bachelor,"B.tech, Human Resources Management/Personnel Administration, General",Human Resources,btech human resources managementpersonnel administration general,human resources
bachelor,bachelor,BA,,ba,marketing
bachelor,bachelor hons,"BA ""Hons"", Graphic Design",,ba hons graphic design,graphic design
bachelor,bachelor hons,"BA (Hons) Accounting & Finance, Accounting & Finance",,ba hons accounting finance accounting finance,accounting
bachelor,bachelor hons,"BA (Hons) Fashion Pattern Cutting, Fashion/Apparel Design",,ba hons fashion pattern cutting fashionapparel design,other
bachelor,bachelor hons,BA (Hons) History,,ba hons history,history
bachelor,bachelor hons,"BA (Hons) of Business and Human Resource Management, HRM",,ba hons of business and human resource management hrm,business
bachelor,bachelor hons,"BA (Hons), Arabic and Middle East Studies",languages and literature,ba hons arabic and middle east studies,languages and literature
